source,dest,edge_type,labels:label,source_type,flags:string[],lineno:int,code,childnum:int,funcid:int,classname,namespace,endlineno:int,source_name,doccomment,export,tainted
0,1,FILE_OF,Filesystem,File,,,,,,,,,stdin,,True,
1,2,ENTRY,AST,AST_TOPLEVEL,TOPLEVEL_FILE,1.0,,,,,1::1:69,1.0,stdin,,True,
1,3,EXIT,Artificial,CFG_FUNC_ENTRY,,,,,1.0,,,,stdin,,True,
1,4,PARENT_OF,Artificial,CFG_FUNC_EXIT,,,,,1.0,,,,stdin,,True,
4,5,PARENT_OF,AST,AST_STMT_LIST,,1.0,,0.0,1.0,,1::1:69,1.0,,,True,
5,6,PARENT_OF,AST,AST_ASSIGN,,1.0,main_func=require('./node_modules/collection.js//collection.js'),0.0,1.0,,1:4:1:68,1.0,,,True,
5,8,PARENT_OF,AST,AST_VAR,JS_DECL_VAR,1.0,,0.0,1.0,,1:4:1:13,1.0,,,True,
5,18,FLOWS_TO,AST,string,,1.0,main_func,0.0,1.0,,1:4:1:13,1.0,main_func,,True,
5,22302,LOOKUP,AST,AST_CALL,JS_REQUIRE_EXTERNAL,1.0,require('./node_modules/collection.js//collection.js'),1.0,1.0,,1:14:1:68,1.0,/home/alex/ODGen/node_modules/collection.js/collection.js,,True,
5,22302,LOOKUP,AST,AST_NAME,NAME_NOT_FQ,1.0,,0.0,1.0,,1:14:1:68,1.0,,,True,
5,22331,LOOKUP,AST,string,,1.0,require,0.0,1.0,,1:14:1:21,1.0,,,True,
5,22335,LOOKUP,AST,AST_ARG_LIST,,1.0,('./node_modules/collection.js//collection.js'),1.0,1.0,,1:14:1:68,1.0,,,True,
6,7,PARENT_OF,AST,string,,1.0,./node_modules/collection.js//collection.js,0.0,1.0,,1:22:1:67,1.0,,,True,
8,9,PARENT_OF,Filesystem,File,,,,,,,,,/home/alex/ODGen/node_modules/collection.js/collection.js,,True,
8,11,PARENT_OF,AST,AST_TOPLEVEL,TOPLEVEL_FILE,1.0,,,,,1::35:40,35.0,/home/alex/ODGen/node_modules/collection.js/collection.js,,True,
9,10,PARENT_OF,Artificial,CFG_FUNC_ENTRY,,,,,14.0,,,,/home/alex/ODGen/node_modules/collection.js/collection.js,,True,
11,12,PARENT_OF,Artificial,CFG_FUNC_EXIT,,,,,14.0,,,,/home/alex/ODGen/node_modules/collection.js/collection.js,,True,
13,14,FILE_OF,AST,AST_STMT_LIST,,1.0,,0.0,14.0,,1::35:40,35.0,,,True,
14,15,ENTRY,AST,string,,1.0,use strict,0.0,14.0,,1::1:12,1.0,,,True,
14,16,EXIT,AST,AST_ASSIGN,,12.0,module.exports = exports = require('./dist/node/core').default,1.0,14.0,,12::12:62,12.0,,!\\n * Collection\\n * https://github.com/kobezzza/Collection\\n *\\n * Released under the MIT license\\n * https://github.com/kobezzza/Collection/blob/master/LICENSE\\n* @type {(function($$CollectionType): $$Collection)},True,
14,17,PARENT_OF,AST,AST_PROP,,12.0,module.exports,0.0,14.0,,12::12:14,12.0,,,True,
17,18,PARENT_OF,AST,AST_VAR,,12.0,,0.0,14.0,,12::12:6,12.0,,,True,
17,19,PARENT_OF,AST,string,,12.0,module,0.0,14.0,,12::12:6,12.0,module,,True,
17,34,PARENT_OF,AST,string,,12.0,exports,1.0,14.0,,12:7:12:14,12.0,,,True,
17,41,PARENT_OF,AST,AST_ASSIGN,,12.0,exports = require('./dist/node/core').default,1.0,14.0,,12:17:12:62,12.0,,,True,
17,45,PARENT_OF,AST,AST_VAR,,12.0,,0.0,14.0,,12:17:12:24,12.0,,,True,
17,49,PARENT_OF,AST,string,,12.0,exports,0.0,14.0,,12:17:12:24,12.0,exports,,True,
17,54,PARENT_OF,AST,AST_PROP,,12.0,require('./dist/node/core').default,1.0,14.0,,12:27:12:62,12.0,,,True,
17,59,PARENT_OF,AST,AST_CALL,JS_REQUIRE_EXTERNAL,12.0,require('./dist/node/core'),0.0,14.0,,12:27:12:54,12.0,/home/alex/ODGen/node_modules/collection.js/dist/node/core.js,,True,
17,64,PARENT_OF,AST,AST_NAME,NAME_NOT_FQ,12.0,,0.0,14.0,,12:27:12:54,12.0,,,True,
17,69,PARENT_OF,AST,string,,12.0,require,0.0,14.0,,12:27:12:34,12.0,,,True,
17,74,PARENT_OF,AST,AST_ARG_LIST,,12.0,('./dist/node/core'),1.0,14.0,,12:27:12:54,12.0,,,True,
17,79,PARENT_OF,AST,string,,12.0,./dist/node/core,0.0,14.0,,12:35:12:53,12.0,,,True,
17,84,PARENT_OF,AST,string,,12.0,default,1.0,14.0,,12:55:12:62,12.0,,,True,
17,89,PARENT_OF,AST,AST_ASSIGN,,13.0,exports.default = exports,2.0,14.0,,13::13:25,13.0,,,True,
17,94,PARENT_OF,AST,AST_PROP,,13.0,exports.default,0.0,14.0,,13::13:15,13.0,,,True,
17,99,PARENT_OF,AST,AST_VAR,,13.0,,0.0,14.0,,13::13:7,13.0,,,True,
17,104,PARENT_OF,AST,string,,13.0,exports,0.0,14.0,,13::13:7,13.0,exports,,True,
17,109,PARENT_OF,AST,string,,13.0,default,1.0,14.0,,13:8:13:15,13.0,,,True,
17,114,PARENT_OF,AST,AST_VAR,,13.0,,1.0,14.0,,13:18:13:25,13.0,,,True,
17,119,PARENT_OF,AST,string,,13.0,exports,0.0,14.0,,13:18:13:25,13.0,exports,,True,
18,19,FLOWS_TO,AST,AST_PROP,,16.0,exports.clone,3.0,14.0,,16::16:13,16.0,,* @type {function(?): ?},True,
19,20,PARENT_OF,AST,AST_VAR,,16.0,,0.0,14.0,,16::16:7,16.0,,,True,
19,24,PARENT_OF,AST,string,,16.0,exports,0.0,14.0,,16::16:7,16.0,exports,,True,
19,129,FLOWS_TO,AST,string,,16.0,clone,1.0,14.0,,16:8:16:13,16.0,,,True,
19,22434,LOOKUP,AST,AST_PROP,,19.0,exports.extend,4.0,14.0,,19::19:14,19.0,,"* @type {function((boolean|?$$Collection_extend), Object, ...Object): !Object}",True,
