source,dest,edge_type,labels:label,source_type,flags:string[],lineno:int,code,childnum:int,funcid:int,classname,namespace,endlineno:int,source_name,doccomment,export,tainted
0,1,FILE_OF,Filesystem,File,,,,,,,,,stdin,,True,
1,2,ENTRY,AST,AST_TOPLEVEL,TOPLEVEL_FILE,1.0,,,,,1::1:56,1.0,stdin,,True,
1,3,EXIT,Artificial,CFG_FUNC_ENTRY,,,,,1.0,,,,stdin,,True,
1,4,PARENT_OF,Artificial,CFG_FUNC_EXIT,,,,,1.0,,,,stdin,,True,
4,5,PARENT_OF,AST,AST_STMT_LIST,,1.0,,0.0,1.0,,1::1:56,1.0,,,True,
5,6,PARENT_OF,AST,AST_ASSIGN,,1.0,main_func=require('./node_modules/node-latex-pdf/'),0.0,1.0,,1:4:1:55,1.0,,,True,
5,8,PARENT_OF,AST,AST_VAR,JS_DECL_VAR,1.0,,0.0,1.0,,1:4:1:13,1.0,,,True,
5,18,FLOWS_TO,AST,string,,1.0,main_func,0.0,1.0,,1:4:1:13,1.0,main_func,,True,
5,2080,LOOKUP,AST,AST_CALL,JS_REQUIRE_EXTERNAL,1.0,require('./node_modules/node-latex-pdf/'),1.0,1.0,,1:14:1:55,1.0,/home/alex/ODGen/node_modules/node-latex-pdf/node-latex-pdf.js,,True,
5,2074,LOOKUP,AST,AST_NAME,NAME_NOT_FQ,1.0,,0.0,1.0,,1:14:1:55,1.0,,,True,
5,2074,LOOKUP,AST,string,,1.0,require,0.0,1.0,,1:14:1:21,1.0,,,True,
5,1771,LOOKUP,AST,AST_ARG_LIST,,1.0,('./node_modules/node-latex-pdf/'),1.0,1.0,,1:14:1:55,1.0,,,True,
5,1771,LOOKUP,AST,string,,1.0,./node_modules/node-latex-pdf/,0.0,1.0,,1:22:1:54,1.0,,,True,
5,1800,LOOKUP,Filesystem,File,,,,,,,,,/home/alex/ODGen/node_modules/node-latex-pdf/node-latex-pdf.js,,True,
5,1804,LOOKUP,AST,AST_TOPLEVEL,TOPLEVEL_FILE,1.0,,,,,1::27:26,27.0,/home/alex/ODGen/node_modules/node-latex-pdf/node-latex-pdf.js,,True,
6,7,PARENT_OF,Artificial,CFG_FUNC_ENTRY,,,,,14.0,,,,/home/alex/ODGen/node_modules/node-latex-pdf/node-latex-pdf.js,,True,
8,9,PARENT_OF,Artificial,CFG_FUNC_EXIT,,,,,14.0,,,,/home/alex/ODGen/node_modules/node-latex-pdf/node-latex-pdf.js,,True,
8,11,PARENT_OF,AST,AST_STMT_LIST,,1.0,,0.0,14.0,,1::27:26,27.0,,,True,
9,10,PARENT_OF,AST,AST_ASSIGN,,1.0,{ exec } = require('child_process'),0.0,14.0,,1:6:1:41,1.0,,,True,
11,12,PARENT_OF,AST,AST_ARRAY,JS_OBJECT,1.0,,0.0,14.0,,1:6:1:14,1.0,,,True,
13,14,FILE_OF,AST,AST_ARRAY_ELEM,,1.0,,0.0,14.0,,1:8:1:12,1.0,,,True,
14,15,ENTRY,AST,AST_VAR,,1.0,,0.0,14.0,,1:8:1:12,1.0,,,True,
14,16,EXIT,AST,string,,1.0,exec,0.0,14.0,,1:8:1:12,1.0,exec,,True,
14,17,PARENT_OF,AST,string,,1.0,exec,1.0,14.0,,1:8:1:12,1.0,,,True,
17,18,PARENT_OF,AST,AST_CALL,JS_REQUIRE_BUILTIN,1.0,require('child_process'),1.0,14.0,,1:17:1:41,1.0,/home/alex/ODGen/builtin_packages/child_process.js,,True,
17,29,PARENT_OF,AST,AST_NAME,NAME_NOT_FQ,1.0,,0.0,14.0,,1:17:1:41,1.0,,,True,
17,37,PARENT_OF,AST,string,,1.0,require,0.0,14.0,,1:17:1:24,1.0,,,True,
17,45,PARENT_OF,AST,AST_ARG_LIST,,1.0,('child_process'),1.0,14.0,,1:17:1:41,1.0,,,True,
17,53,PARENT_OF,AST,string,,1.0,child_process,0.0,14.0,,1:25:1:40,1.0,,,True,
17,219,PARENT_OF,AST,AST_ASSIGN,,2.0,path = require('path'),1.0,14.0,,2:6:2:28,2.0,,,True,
18,19,PARENT_OF,AST,AST_VAR,JS_DECL_CONST,2.0,,0.0,14.0,,2:6:2:10,2.0,,,True,
18,24,PARENT_OF,AST,string,,2.0,path,0.0,14.0,,2:6:2:10,2.0,path,,True,
18,231,FLOWS_TO,AST,AST_CALL,JS_REQUIRE_BUILTIN,2.0,require('path'),1.0,14.0,,2:13:2:28,2.0,built-in,,True,
18,1870,LOOKUP,AST,AST_NAME,NAME_NOT_FQ,2.0,,0.0,14.0,,2:13:2:28,2.0,,,True,
19,20,PARENT_OF,AST,string,,2.0,require,0.0,14.0,,2:13:2:20,2.0,,,True,
20,21,PARENT_OF,AST,AST_ARG_LIST,,2.0,('path'),1.0,14.0,,2:13:2:28,2.0,,,True,
20,23,PARENT_OF,AST,string,,2.0,path,0.0,14.0,,2:21:2:27,2.0,,,True,
21,22,PARENT_OF,AST,AST_ASSIGN,,3.0,fs = require('fs'),2.0,14.0,,3:6:3:24,3.0,,,True,
24,25,PARENT_OF,AST,AST_VAR,JS_DECL_CONST,3.0,,0.0,14.0,,3:6:3:8,3.0,,,True,
24,27,PARENT_OF,AST,string,,3.0,fs,0.0,14.0,,3:6:3:8,3.0,fs,,True,
25,26,PARENT_OF,AST,AST_CALL,JS_REQUIRE_BUILTIN,3.0,require('fs'),1.0,14.0,,3:11:3:24,3.0,/home/alex/ODGen/builtin_packages/fs.js,,True,
27,28,PARENT_OF,AST,AST_NAME,NAME_NOT_FQ,3.0,,0.0,14.0,,3:11:3:24,3.0,,,True,
29,30,PARENT_OF,AST,string,,3.0,require,0.0,14.0,,3:11:3:18,3.0,,,True,
29,32,PARENT_OF,AST,AST_ARG_LIST,,3.0,('fs'),1.0,14.0,,3:11:3:24,3.0,,,True,
29,37,FLOWS_TO,AST,string,,3.0,fs,0.0,14.0,,3:19:3:23,3.0,,,True,
30,31,PARENT_OF,AST,AST_ASSIGN,,4.0,os = require('os'),3.0,14.0,,4:6:4:24,4.0,,,True,
32,33,PARENT_OF,AST,AST_VAR,JS_DECL_CONST,4.0,,0.0,14.0,,4:6:4:8,4.0,,,True,
32,35,PARENT_OF,AST,string,,4.0,os,0.0,14.0,,4:6:4:8,4.0,os,,True,
33,34,PARENT_OF,AST,AST_CALL,JS_REQUIRE_BUILTIN,4.0,require('os'),1.0,14.0,,4:11:4:24,4.0,/home/alex/ODGen/builtin_packages/os.js,,True,
35,36,PARENT_OF,AST,AST_NAME,NAME_NOT_FQ,4.0,,0.0,14.0,,4:11:4:24,4.0,,,True,
37,38,PARENT_OF,AST,string,,4.0,require,0.0,14.0,,4:11:4:18,4.0,,,True,
37,40,PARENT_OF,AST,AST_ARG_LIST,,4.0,('os'),1.0,14.0,,4:11:4:24,4.0,,,True,
37,448,FLOWS_TO,AST,string,,4.0,os,0.0,14.0,,4:19:4:23,4.0,,,True,
38,39,PARENT_OF,AST,AST_ASSIGN,,6.0,"selflatex = function(src_file,dest_file,callback){    // split with src file name     var texname = src_file.split('/').splice(-1)[0].split('.')[0];    // compile and     exec(\""pdflatex -output-directory \"" + dest_file + \"" \"" + src_file, (err,stdout,stderr) => {        if (err) {            callback(1,`pdflatex[1] error: ${err}`);        }else{            // compile second time to fit the usage            exec(\""pdflatex -output-directory \"" + dest_file + \"" \"" + src_file, (err,stdout,stderr) => {                if (err) {                    callback(1,`pdflatex[2] error: ${err}`);                }                else{                    callback(0,`[node-latex-complete] Complete source: ${src_file}, check out result in ${dest_file}!`);                }            });        }    });}",4.0,14.0,,6:4:25:1,25.0,,,True,
40,41,PARENT_OF,AST,AST_VAR,JS_DECL_VAR,6.0,,0.0,14.0,,6:4:6:13,6.0,,,True,
40,43,PARENT_OF,AST,string,,6.0,selflatex,0.0,14.0,,6:4:6:13,6.0,selflatex,,True,
41,42,PARENT_OF,AST,AST_CLOSURE,,6.0,,1.0,14.0,,6:16:25:1,25.0,,,True,
43,44,PARENT_OF,Artificial,CFG_FUNC_ENTRY,,,,,56.0,,,,,,True,
45,46,PARENT_OF,Artificial,CFG_FUNC_EXIT,,,,,56.0,,,,,,True,
45,48,PARENT_OF,AST,string,,6.0,{anon},0.0,56.0,,6::6:,,,,True,
45,2061,LOOKUP,AST,,,6.0,,1.0,56.0,,6::6:,,,,True,
45,2065,LOOKUP,AST,AST_PARAM_LIST,,6.0,"src_file, dest_file, callback",2.0,56.0,,6:16:25:1,25.0,,,True,
45,53,FLOWS_TO,AST,AST_PARAM,,6.0,src_file,0.0,56.0,,6::6:,,,,True,
46,47,PARENT_OF,AST,,,6.0,any,0.0,56.0,,6::6:,,,,True,
48,49,PARENT_OF,AST,string,,6.0,src_file,1.0,56.0,,6:25:6:33,6.0,,,True,
48,51,PARENT_OF,AST,,,6.0,any,2.0,56.0,,6::6:,,,,True,
49,50,PARENT_OF,AST,AST_PARAM,,6.0,dest_file,1.0,56.0,,6::6:,,,,True,
51,52,PARENT_OF,AST,,,6.0,any,0.0,56.0,,6::6:,,,,True,
53,54,PARENT_OF,AST,string,,6.0,dest_file,1.0,56.0,,6:34:6:43,6.0,,,True,
53,56,PARENT_OF,AST,,,6.0,any,2.0,56.0,,6::6:,,,,True,
53,1771,LOOKUP,AST,AST_PARAM,,6.0,callback,2.0,56.0,,6::6:,,,,True,
53,1771,LOOKUP,AST,,,6.0,any,0.0,56.0,,6::6:,,,,True,
53,219,FLOWS_TO,AST,string,,6.0,callback,1.0,56.0,,6:44:6:52,6.0,,,True,
53,76,OBJ_REACHES,AST,,,6.0,any,2.0,56.0,,6::6:,,,,True,
53,76,OBJ_REACHES,AST,,,6.0,,3.0,56.0,,6::6:,,,,True,
53,98,OBJ_REACHES,AST,AST_STMT_LIST,,6.0,,4.0,56.0,,6:53:25:1,25.0,,,True,
53,98,OBJ_REACHES,AST,AST_ASSIGN,,8.0,texname = src_file.split('/').splice(-1)[0].split('.')[0],0.0,56.0,,8:8:8:65,8.0,,split with src file name,True,
53,98,OBJ_REACHES,AST,AST_VAR,JS_DECL_VAR,8.0,,0.0,56.0,,8:8:8:15,8.0,,,True,
53,98,OBJ_REACHES,AST,string,,8.0,texname,0.0,56.0,,8:8:8:15,8.0,texname,,True,
54,55,PARENT_OF,AST,AST_DIM,,8.0,src_file.split('/').splice(-1)[0].split('.')[0],1.0,56.0,,8:18:8:65,8.0,,,True,
56,57,ENTRY,AST,AST_METHOD_CALL,,8.0,src_file.split('/').splice(-1)[0].split('.'),0.0,56.0,,8:18:8:62,8.0,,,True,
56,58,EXIT,AST,AST_DIM,,8.0,src_file.split('/').splice(-1)[0],0.0,56.0,,8:18:8:51,8.0,,,True,
56,59,PARENT_OF,AST,AST_METHOD_CALL,,8.0,src_file.split('/').splice(-1),0.0,56.0,,8:18:8:48,8.0,,,True,
56,60,PARENT_OF,AST,AST_METHOD_CALL,,8.0,src_file.split('/'),0.0,56.0,,8:18:8:37,8.0,,,True,
56,61,PARENT_OF,AST,AST_VAR,,8.0,,0.0,56.0,,8:18:8:26,8.0,,,True,
56,74,PARENT_OF,AST,string,,8.0,src_file,0.0,56.0,,8:18:8:26,8.0,src_file,,True,
56,75,PARENT_OF,AST,string,,8.0,split,1.0,56.0,,8:27:8:32,8.0,,,True,
56,217,PARENT_OF,AST,AST_ARG_LIST,,8.0,('/'),2.0,56.0,,8:18:8:37,8.0,,,True,
