source,dest,edge_type,labels:label,source_type,flags:string[],lineno:int,code,childnum:int,funcid:int,classname,namespace,endlineno:int,source_name,doccomment,export,tainted
0,1,FILE_OF,Filesystem,File,,,,,,,,,stdin,,True,
1,2,ENTRY,AST,AST_TOPLEVEL,TOPLEVEL_FILE,1.0,,,,,1::1:51,1.0,stdin,,True,
1,3,EXIT,Artificial,CFG_FUNC_ENTRY,,,,,1.0,,,,stdin,,True,
1,4,PARENT_OF,Artificial,CFG_FUNC_EXIT,,,,,1.0,,,,stdin,,True,
4,5,PARENT_OF,AST,AST_STMT_LIST,,1.0,,0.0,1.0,,1::1:51,1.0,,,True,
5,6,PARENT_OF,AST,AST_ASSIGN,,1.0,main_func=require('./node_modules/node-oojs/'),0.0,1.0,,1:4:1:50,1.0,,,True,
5,8,PARENT_OF,AST,AST_VAR,JS_DECL_VAR,1.0,,0.0,1.0,,1:4:1:13,1.0,,,True,
5,18,FLOWS_TO,AST,string,,1.0,main_func,0.0,1.0,,1:4:1:13,1.0,main_func,,True,
6,7,PARENT_OF,AST,AST_CALL,JS_REQUIRE_EXTERNAL,1.0,require('./node_modules/node-oojs/'),1.0,1.0,,1:14:1:50,1.0,/home/alex/ODGen/node_modules/node-oojs/bin/format/oojs.js,,True,
8,9,PARENT_OF,AST,AST_NAME,NAME_NOT_FQ,1.0,,0.0,1.0,,1:14:1:50,1.0,,,True,
8,11,PARENT_OF,AST,string,,1.0,require,0.0,1.0,,1:14:1:21,1.0,,,True,
9,10,PARENT_OF,AST,AST_ARG_LIST,,1.0,('./node_modules/node-oojs/'),1.0,1.0,,1:14:1:50,1.0,,,True,
11,12,PARENT_OF,AST,string,,1.0,./node_modules/node-oojs/,0.0,1.0,,1:22:1:49,1.0,,,True,
13,14,FILE_OF,Filesystem,File,,,,,,,,,/home/alex/ODGen/node_modules/node-oojs/bin/format/oojs.js,,True,
14,15,ENTRY,AST,AST_TOPLEVEL,TOPLEVEL_FILE,1.0,,,,,1::781:3,781.0,/home/alex/ODGen/node_modules/node-oojs/bin/format/oojs.js,,True,
14,16,EXIT,Artificial,CFG_FUNC_ENTRY,,,,,14.0,,,,/home/alex/ODGen/node_modules/node-oojs/bin/format/oojs.js,,True,
14,17,PARENT_OF,Artificial,CFG_FUNC_EXIT,,,,,14.0,,,,/home/alex/ODGen/node_modules/node-oojs/bin/format/oojs.js,,True,
17,18,PARENT_OF,AST,AST_STMT_LIST,,1.0,,0.0,14.0,,1::781:3,781.0,,,True,
17,2399,PARENT_OF,AST,AST_CALL,,1.0,,0.0,14.0,,1::305:4,305.0,,,True,
17,4244,PARENT_OF,AST,AST_CLOSURE,,1.0,,0.0,14.0,,1:1:305:1,305.0,,,True,
17,5634,PARENT_OF,Artificial,CFG_FUNC_ENTRY,,,,,19.0,,,,,,True,
18,19,PARENT_OF,Artificial,CFG_FUNC_EXIT,,,,,19.0,,,,,,True,
18,2398,PARENT_OF,AST,string,,1.0,{anon},0.0,19.0,,1::1:,,,,True,
18,27,FLOWS_TO,AST,,,1.0,,1.0,19.0,,1::1:,,,,True,
19,20,ENTRY,AST,AST_PARAM_LIST,,1.0,,2.0,19.0,,1:1:305:1,305.0,,,True,
19,21,EXIT,AST,,,1.0,,3.0,19.0,,1::1:,,,,True,
19,22,PARENT_OF,AST,AST_STMT_LIST,,1.0,,4.0,19.0,,1:12:305:1,305.0,,,True,
19,23,PARENT_OF,AST,AST_ASSIGN,,2.0,"oojs = {        name: \""oojs\"",        namespace: \""\"",        classes: {},        noop: function() {},        $oojs: function() {            var config = {};            if (typeof window !== \""undefined\"" && window && typeof document !== \""undefined\"" && document) {                this.runtime = \""browser\"";                config.global = window;            } else {                this.runtime = \""node\"";                config.global = global;            }            config.proxyName = \""proxy\"";            config.path = this.runtime === \""node\"" ? process.cwd() + \""/src/\"" : \""/src/\"";            if (typeof $oojs_config !== \""undefined\"") {                for (var key in $oojs_config) {                    if (key && $oojs_config.hasOwnProperty(key)) {                        config[key] = $oojs_config[key];                    }                }            }            this.global = config.global;            if (config.proxyName) {                Function.prototype[config.proxyName] = this.proxy;            }            this.setPa",0.0,19.0,,2:8:303:5,303.0,,,True,
19,24,PARENT_OF,AST,AST_VAR,JS_DECL_VAR,2.0,,0.0,19.0,,2:8:2:12,2.0,,,True,
19,25,PARENT_OF,AST,string,,2.0,oojs,0.0,19.0,,2:8:2:12,2.0,oojs,,True,
19,26,PARENT_OF,AST,AST_ARRAY,JS_OBJECT,2.0,,1.0,19.0,,2:15:303:5,303.0,,,True,
19,2396,PARENT_OF,AST,AST_ARRAY_ELEM,,3.0,,0.0,19.0,,3:8:3:20,3.0,,,True,
19,2397,PARENT_OF,AST,string,,3.0,oojs,0.0,19.0,,3:14:3:20,3.0,,,True,
26,27,PARENT_OF,AST,string,,3.0,name,1.0,19.0,,3:8:3:12,3.0,,,True,
26,2389,PARENT_OF,AST,AST_ARRAY_ELEM,,4.0,,1.0,19.0,,4:8:4:21,4.0,,,True,
27,28,PARENT_OF,AST,string,,4.0,,0.0,19.0,,4:19:4:21,4.0,,,True,
27,30,PARENT_OF,AST,string,,4.0,namespace,1.0,19.0,,4:8:4:17,4.0,,,True,
27,7347,LOOKUP,AST,AST_ARRAY_ELEM,,5.0,,2.0,19.0,,5:8:5:19,5.0,,,True,
