source,dest,edge_type,labels:label,source_type,flags:string[],lineno:int,code,childnum:int,funcid:int,classname,namespace,endlineno:int,source_name,doccomment,export,tainted
0,1,FILE_OF,Filesystem,File,,,,,,,,,stdin,,True,
1,2,ENTRY,AST,AST_TOPLEVEL,TOPLEVEL_FILE,1.0,,,,,1::1:49,1.0,stdin,,True,
1,3,EXIT,Artificial,CFG_FUNC_ENTRY,,,,,1.0,,,,stdin,,True,
1,4,PARENT_OF,Artificial,CFG_FUNC_EXIT,,,,,1.0,,,,stdin,,True,
4,5,PARENT_OF,AST,AST_STMT_LIST,,1.0,,0.0,1.0,,1::1:49,1.0,,,True,
5,6,PARENT_OF,AST,AST_ASSIGN,,1.0,main_func=require('./node_modules/node-ps/'),0.0,1.0,,1:4:1:48,1.0,,,True,
5,8,PARENT_OF,AST,AST_VAR,JS_DECL_VAR,1.0,,0.0,1.0,,1:4:1:13,1.0,,,True,
5,18,FLOWS_TO,AST,string,,1.0,main_func,0.0,1.0,,1:4:1:13,1.0,main_func,,True,
5,2368,LOOKUP,AST,AST_CALL,JS_REQUIRE_EXTERNAL,1.0,require('./node_modules/node-ps/'),1.0,1.0,,1:14:1:48,1.0,/home/alex/ODGen/node_modules/node-ps/index.js,,True,
5,2212,LOOKUP,AST,AST_NAME,NAME_NOT_FQ,1.0,,0.0,1.0,,1:14:1:48,1.0,,,True,
5,2212,LOOKUP,AST,string,,1.0,require,0.0,1.0,,1:14:1:21,1.0,,,True,
5,2180,LOOKUP,AST,AST_ARG_LIST,,1.0,('./node_modules/node-ps/'),1.0,1.0,,1:14:1:48,1.0,,,True,
5,2148,LOOKUP,AST,string,,1.0,./node_modules/node-ps/,0.0,1.0,,1:22:1:47,1.0,,,True,
5,2196,LOOKUP,Filesystem,File,,,,,,,,,/home/alex/ODGen/node_modules/node-ps/index.js,,True,
5,2164,LOOKUP,AST,AST_TOPLEVEL,TOPLEVEL_FILE,1.0,,,,,1::1:40,1.0,/home/alex/ODGen/node_modules/node-ps/index.js,,True,
5,2361,LOOKUP,Artificial,CFG_FUNC_ENTRY,,,,,14.0,,,,/home/alex/ODGen/node_modules/node-ps/index.js,,True,
5,2227,LOOKUP,Artificial,CFG_FUNC_EXIT,,,,,14.0,,,,/home/alex/ODGen/node_modules/node-ps/index.js,,True,
5,2221,LOOKUP,AST,AST_STMT_LIST,,1.0,,0.0,14.0,,1::1:40,1.0,,,True,
5,2195,LOOKUP,AST,AST_ASSIGN,,1.0,module.exports = require('./lib/index'),0.0,14.0,,1::1:39,1.0,,,True,
5,2189,LOOKUP,AST,AST_PROP,,1.0,module.exports,0.0,14.0,,1::1:14,1.0,,,True,
5,2163,LOOKUP,AST,AST_VAR,,1.0,,0.0,14.0,,1::1:6,1.0,,,True,
5,2157,LOOKUP,AST,string,,1.0,module,0.0,14.0,,1::1:6,1.0,module,,True,
5,2211,LOOKUP,AST,string,,1.0,exports,1.0,14.0,,1:7:1:14,1.0,,,True,
5,2205,LOOKUP,AST,AST_CALL,JS_REQUIRE_EXTERNAL,1.0,require('./lib/index'),1.0,14.0,,1:17:1:39,1.0,/home/alex/ODGen/node_modules/node-ps/lib/index.js,,True,
5,2179,LOOKUP,AST,AST_NAME,NAME_NOT_FQ,1.0,,0.0,14.0,,1:17:1:39,1.0,,,True,
5,2173,LOOKUP,AST,string,,1.0,require,0.0,14.0,,1:17:1:24,1.0,,,True,
5,2225,LOOKUP,AST,AST_ARG_LIST,,1.0,('./lib/index'),1.0,14.0,,1:17:1:39,1.0,,,True,
5,2193,LOOKUP,AST,string,,1.0,./lib/index,0.0,14.0,,1:25:1:38,1.0,,,True,
