source,dest,edge_type,labels:label,source_type,flags:string[],lineno:int,code,childnum:int,funcid:int,classname,namespace,endlineno:int,source_name,doccomment,export,tainted
0,1,FILE_OF,Filesystem,File,,,,,,,,,stdin,,True,
1,2,ENTRY,AST,AST_TOPLEVEL,TOPLEVEL_FILE,1.0,,,,,1::1:56,1.0,stdin,,True,
1,3,EXIT,Artificial,CFG_FUNC_ENTRY,,,,,1.0,,,,stdin,,True,
1,4,PARENT_OF,Artificial,CFG_FUNC_EXIT,,,,,1.0,,,,stdin,,True,
4,5,PARENT_OF,AST,AST_STMT_LIST,,1.0,,0.0,1.0,,1::1:56,1.0,,,True,
5,6,PARENT_OF,AST,AST_ASSIGN,,1.0,main_func=require('./node_modules/node-serialize/'),0.0,1.0,,1:4:1:55,1.0,,,True,
5,8,PARENT_OF,AST,AST_VAR,JS_DECL_VAR,1.0,,0.0,1.0,,1:4:1:13,1.0,,,True,
5,18,FLOWS_TO,AST,string,,1.0,main_func,0.0,1.0,,1:4:1:13,1.0,main_func,,True,
5,1836,LOOKUP,AST,AST_CALL,JS_REQUIRE_EXTERNAL,1.0,require('./node_modules/node-serialize/'),1.0,1.0,,1:14:1:55,1.0,/home/alex/ODGen/node_modules/node-serialize/lib/serialize.js,,True,
5,1836,LOOKUP,AST,AST_NAME,NAME_NOT_FQ,1.0,,0.0,1.0,,1:14:1:55,1.0,,,True,
5,1865,LOOKUP,AST,string,,1.0,require,0.0,1.0,,1:14:1:21,1.0,,,True,
5,1869,LOOKUP,AST,AST_ARG_LIST,,1.0,('./node_modules/node-serialize/'),1.0,1.0,,1:14:1:55,1.0,,,True,
6,7,PARENT_OF,AST,string,,1.0,./node_modules/node-serialize/,0.0,1.0,,1:22:1:54,1.0,,,True,
8,9,PARENT_OF,Filesystem,File,,,,,,,,,/home/alex/ODGen/node_modules/node-serialize/lib/serialize.js,,True,
8,11,PARENT_OF,AST,AST_TOPLEVEL,TOPLEVEL_FILE,1.0,,,,,1::90:2,90.0,/home/alex/ODGen/node_modules/node-serialize/lib/serialize.js,,True,
9,10,PARENT_OF,Artificial,CFG_FUNC_ENTRY,,,,,14.0,,,,/home/alex/ODGen/node_modules/node-serialize/lib/serialize.js,,True,
11,12,PARENT_OF,Artificial,CFG_FUNC_EXIT,,,,,14.0,,,,/home/alex/ODGen/node_modules/node-serialize/lib/serialize.js,,True,
13,14,FILE_OF,AST,AST_STMT_LIST,,1.0,,0.0,14.0,,1::90:2,90.0,,,True,
14,15,ENTRY,AST,AST_ASSIGN,,1.0,FUNCFLAG = '_$$ND_FUNC$$_',0.0,14.0,,1:4:1:30,1.0,,,True,
14,16,EXIT,AST,AST_VAR,JS_DECL_VAR,1.0,,0.0,14.0,,1:4:1:12,1.0,,,True,
14,17,PARENT_OF,AST,string,,1.0,FUNCFLAG,0.0,14.0,,1:4:1:12,1.0,FUNCFLAG,,True,
17,18,PARENT_OF,AST,string,,1.0,_$$ND_FUNC$$_,1.0,14.0,,1:15:1:30,1.0,,,True,
17,22,PARENT_OF,AST,AST_ASSIGN,,2.0,CIRCULARFLAG = '_$$ND_CC$$_',1.0,14.0,,2:4:2:32,2.0,,,True,
17,26,PARENT_OF,AST,AST_VAR,JS_DECL_VAR,2.0,,0.0,14.0,,2:4:2:16,2.0,,,True,
17,30,PARENT_OF,AST,string,,2.0,CIRCULARFLAG,0.0,14.0,,2:4:2:16,2.0,CIRCULARFLAG,,True,
17,34,PARENT_OF,AST,string,,2.0,_$$ND_CC$$_,1.0,14.0,,2:19:2:32,2.0,,,True,
17,109,PARENT_OF,AST,AST_ASSIGN,,3.0,KEYPATHSEPARATOR = '_$$.$$_',2.0,14.0,,3:4:3:32,3.0,,,True,
17,409,PARENT_OF,AST,AST_VAR,JS_DECL_VAR,3.0,,0.0,14.0,,3:4:3:20,3.0,,,True,
18,19,PARENT_OF,AST,string,,3.0,KEYPATHSEPARATOR,0.0,14.0,,3:4:3:20,3.0,KEYPATHSEPARATOR,,True,
18,21,PARENT_OF,AST,string,,3.0,_$$.$$_,1.0,14.0,,3:23:3:32,3.0,,,True,
18,1836,LOOKUP,AST,AST_ASSIGN,,4.0,ISNATIVEFUNC = /^function\\s*[^(]*\\(.*\\)\\s*\\{\\s*\\[native code\\]\\s*\\}$/,3.0,14.0,,4:4:4:73,4.0,,,True,
18,1836,LOOKUP,AST,AST_VAR,JS_DECL_VAR,4.0,,0.0,14.0,,4:4:4:16,4.0,,,True,
18,22,FLOWS_TO,AST,string,,4.0,ISNATIVEFUNC,0.0,14.0,,4:4:4:16,4.0,ISNATIVEFUNC,,True,
19,20,PARENT_OF,AST,string,JS_REGEXP,4.0,/^function\\s*[^(]*\\(.*\\)\\s*\\{\\s*\\[native code\\]\\s*\\}$/,1.0,14.0,,4:19:4:73,4.0,,,True,
22,23,PARENT_OF,AST,AST_ASSIGN,,6.0,"getKeyPath = function(obj, path) {  path = path.split(KEYPATHSEPARATOR);  var currentObj = obj;  path.forEach(function(p, index) {    if (index) {      currentObj = currentObj[p];    }  });  return currentObj;}",4.0,14.0,,6:4:15:1,15.0,,,True,
22,25,PARENT_OF,AST,AST_VAR,JS_DECL_VAR,6.0,,0.0,14.0,,6:4:6:14,6.0,,,True,
22,1836,LOOKUP,AST,string,,6.0,getKeyPath,0.0,14.0,,6:4:6:14,6.0,getKeyPath,,True,
22,1836,LOOKUP,AST,AST_CLOSURE,,6.0,,1.0,14.0,,6:17:15:1,15.0,,,True,
22,26,FLOWS_TO,Artificial,CFG_FUNC_ENTRY,,,,,37.0,,,,,,True,
23,24,PARENT_OF,Artificial,CFG_FUNC_EXIT,,,,,37.0,,,,,,True,
26,27,PARENT_OF,AST,string,,6.0,{anon},0.0,37.0,,6::6:,,,,True,
26,29,PARENT_OF,AST,,,6.0,,1.0,37.0,,6::6:,,,,True,
26,1836,LOOKUP,AST,AST_PARAM_LIST,,6.0,"obj, path",2.0,37.0,,6:17:15:1,15.0,,,True,
26,1836,LOOKUP,AST,AST_PARAM,,6.0,obj,0.0,37.0,,6::6:,,,,True,
26,30,FLOWS_TO,AST,,,6.0,any,0.0,37.0,,6::6:,,,,True,
27,28,PARENT_OF,AST,string,,6.0,obj,1.0,37.0,,6:26:6:29,6.0,,,True,
30,31,PARENT_OF,AST,,,6.0,any,2.0,37.0,,6::6:,,,,True,
30,33,PARENT_OF,AST,AST_PARAM,,6.0,path,1.0,37.0,,6::6:,,,,True,
30,1836,LOOKUP,AST,,,6.0,any,0.0,37.0,,6::6:,,,,True,
30,1836,LOOKUP,AST,string,,6.0,path,1.0,37.0,,6:31:6:35,6.0,,,True,
30,34,FLOWS_TO,AST,,,6.0,any,2.0,37.0,,6::6:,,,,True,
31,32,PARENT_OF,AST,,,6.0,,3.0,37.0,,6::6:,,,,True,
34,35,PARENT_OF,AST,AST_STMT_LIST,,6.0,,4.0,37.0,,6:37:15:1,15.0,,,True,
34,37,PARENT_OF,AST,AST_ASSIGN,,7.0,path = path.split(KEYPATHSEPARATOR),0.0,37.0,,7:2:7:37,7.0,,,True,
34,1836,LOOKUP,AST,AST_VAR,,7.0,,0.0,37.0,,7:2:7:6,7.0,,,True,
34,1836,LOOKUP,AST,string,,7.0,path,0.0,37.0,,7:2:7:6,7.0,path,,True,
34,109,FLOWS_TO,AST,AST_METHOD_CALL,,7.0,path.split(KEYPATHSEPARATOR),1.0,37.0,,7:9:7:37,7.0,,,True,
35,36,PARENT_OF,AST,AST_VAR,,7.0,,0.0,37.0,,7:9:7:13,7.0,,,True,
37,38,ENTRY,AST,string,,7.0,path,0.0,37.0,,7:9:7:13,7.0,path,,True,
37,39,EXIT,AST,string,,7.0,split,1.0,37.0,,7:14:7:19,7.0,,,True,
37,40,PARENT_OF,AST,AST_ARG_LIST,,7.0,(KEYPATHSEPARATOR),2.0,37.0,,7:9:7:37,7.0,,,True,
37,41,PARENT_OF,AST,AST_VAR,,7.0,,0.0,37.0,,7:20:7:36,7.0,,,True,
37,42,PARENT_OF,AST,string,,7.0,KEYPATHSEPARATOR,0.0,37.0,,7:20:7:36,7.0,KEYPATHSEPARATOR,,True,
37,51,PARENT_OF,AST,AST_ASSIGN,,8.0,currentObj = obj,1.0,37.0,,8:6:8:22,8.0,,,True,
37,52,PARENT_OF,AST,AST_VAR,JS_DECL_VAR,8.0,,0.0,37.0,,8:6:8:16,8.0,,,True,
37,107,PARENT_OF,AST,string,,8.0,currentObj,0.0,37.0,,8:6:8:16,8.0,currentObj,,True,
37,108,PARENT_OF,AST,AST_VAR,,8.0,,1.0,37.0,,8:19:8:22,8.0,,,True,
42,43,PARENT_OF,AST,string,,8.0,obj,0.0,37.0,,8:19:8:22,8.0,obj,,True,
42,47,PARENT_OF,AST,AST_METHOD_CALL,,9.0,"path.forEach(function(p, index) {    if (index) {      currentObj = currentObj[p];    }  })",2.0,37.0,,9:2:13:4,13.0,,,True,
43,44,PARENT_OF,AST,AST_VAR,,9.0,,0.0,37.0,,9:2:9:6,9.0,,,True,
43,45,PARENT_OF,AST,string,,9.0,path,0.0,37.0,,9:2:9:6,9.0,path,,True,
43,46,PARENT_OF,AST,string,,9.0,forEach,1.0,37.0,,9:7:9:14,9.0,,,True,
47,48,PARENT_OF,AST,AST_ARG_LIST,,9.0,,2.0,37.0,,9:2:13:4,13.0,,,True,
47,49,PARENT_OF,AST,AST_CLOSURE,,9.0,,0.0,37.0,,9:15:13:3,13.0,,,True,
47,50,PARENT_OF,Artificial,CFG_FUNC_ENTRY,,,,,73.0,,,,,,True,
52,53,PARENT_OF,Artificial,CFG_FUNC_EXIT,,,,,73.0,,,,,,True,
52,63,PARENT_OF,AST,string,,9.0,{anon},0.0,73.0,,9::9:,,,,True,
52,68,PARENT_OF,AST,,,9.0,,1.0,73.0,,9::9:,,,,True,
52,104,PARENT_OF,AST,AST_PARAM_LIST,,9.0,"p, index",2.0,73.0,,9:15:13:3,13.0,,,True,
53,54,PARENT_OF,AST,AST_PARAM,,9.0,p,0.0,73.0,,9::9:,,,,True,
53,56,PARENT_OF,AST,,,9.0,any,0.0,73.0,,9::9:,,,,True,
54,55,PARENT_OF,AST,string,,9.0,p,1.0,73.0,,9:24:9:25,9.0,,,True,
56,57,PARENT_OF,AST,,,9.0,any,2.0,73.0,,9::9:,,,,True,
56,59,PARENT_OF,AST,AST_PARAM,,9.0,index,1.0,73.0,,9::9:,,,,True,
56,60,PARENT_OF,AST,,,9.0,any,0.0,73.0,,9::9:,,,,True,
57,58,PARENT_OF,AST,string,,9.0,index,1.0,73.0,,9:27:9:32,9.0,,,True,
60,61,PARENT_OF,AST,,,9.0,any,2.0,73.0,,9::9:,,,,True,
61,62,PARENT_OF,AST,,,9.0,,3.0,73.0,,9::9:,,,,True,
63,64,PARENT_OF,AST,AST_STMT_LIST,,9.0,,4.0,73.0,,9:34:13:3,13.0,,,True,
63,66,PARENT_OF,AST,AST_IF,,10.0,,0.0,73.0,,10:4:12:5,12.0,,,True,
64,65,PARENT_OF,AST,AST_IF_ELEM,,10.0,,0.0,73.0,,10:4:12:5,12.0,,,True,
66,67,PARENT_OF,AST,AST_VAR,,10.0,,0.0,73.0,,10:8:10:13,10.0,,,True,
68,69,PARENT_OF,AST,string,,10.0,index,0.0,73.0,,10:8:10:13,10.0,index,,True,
