source,dest,edge_type,labels:label,source_type,flags:string[],lineno:int,code,childnum:int,funcid:int,classname,namespace,endlineno:int,source_name,doccomment,export,tainted
0,1,FILE_OF,Filesystem,File,,,,,,,,,stdin,,True,
1,2,ENTRY,AST,AST_TOPLEVEL,TOPLEVEL_FILE,1.0,,,,,1::1:59,1.0,stdin,,True,
1,3,EXIT,Artificial,CFG_FUNC_ENTRY,,,,,1.0,,,,stdin,,True,
1,4,PARENT_OF,Artificial,CFG_FUNC_EXIT,,,,,1.0,,,,stdin,,True,
4,5,PARENT_OF,AST,AST_STMT_LIST,,1.0,,0.0,1.0,,1::1:59,1.0,,,True,
5,6,PARENT_OF,AST,AST_ASSIGN,,1.0,main_func=require('./node_modules/nodejs-traceroute/'),0.0,1.0,,1:4:1:58,1.0,,,True,
5,8,PARENT_OF,AST,AST_VAR,JS_DECL_VAR,1.0,,0.0,1.0,,1:4:1:13,1.0,,,True,
5,18,FLOWS_TO,AST,string,,1.0,main_func,0.0,1.0,,1:4:1:13,1.0,main_func,,True,
5,17080,LOOKUP,AST,AST_CALL,JS_REQUIRE_EXTERNAL,1.0,require('./node_modules/nodejs-traceroute/'),1.0,1.0,,1:14:1:58,1.0,/home/alex/ODGen/node_modules/nodejs-traceroute/index.js,,True,
5,17080,LOOKUP,AST,AST_NAME,NAME_NOT_FQ,1.0,,0.0,1.0,,1:14:1:58,1.0,,,True,
5,17109,LOOKUP,AST,string,,1.0,require,0.0,1.0,,1:14:1:21,1.0,,,True,
5,17113,LOOKUP,AST,AST_ARG_LIST,,1.0,('./node_modules/nodejs-traceroute/'),1.0,1.0,,1:14:1:58,1.0,,,True,
6,7,PARENT_OF,AST,string,,1.0,./node_modules/nodejs-traceroute/,0.0,1.0,,1:22:1:57,1.0,,,True,
8,9,PARENT_OF,Filesystem,File,,,,,,,,,/home/alex/ODGen/node_modules/nodejs-traceroute/index.js,,True,
8,11,PARENT_OF,AST,AST_TOPLEVEL,TOPLEVEL_FILE,1.0,,,,,1::8:66,8.0,/home/alex/ODGen/node_modules/nodejs-traceroute/index.js,,True,
9,10,PARENT_OF,Artificial,CFG_FUNC_ENTRY,,,,,14.0,,,,/home/alex/ODGen/node_modules/nodejs-traceroute/index.js,,True,
11,12,PARENT_OF,Artificial,CFG_FUNC_EXIT,,,,,14.0,,,,/home/alex/ODGen/node_modules/nodejs-traceroute/index.js,,True,
13,14,FILE_OF,AST,AST_STMT_LIST,,1.0,,0.0,14.0,,1::8:66,8.0,,,True,
14,15,ENTRY,AST,string,,1.0,use strict,0.0,14.0,,1::1:12,1.0,,,True,
14,16,EXIT,AST,AST_ASSIGN,,3.0,os = require('os'),1.0,14.0,,3:6:3:24,3.0,,,True,
14,17,PARENT_OF,AST,AST_VAR,JS_DECL_CONST,3.0,,0.0,14.0,,3:6:3:8,3.0,,,True,
14,23866,CALLS,AST,string,,3.0,os,0.0,14.0,,3:6:3:8,3.0,os,,True,
17,18,PARENT_OF,AST,AST_CALL,JS_REQUIRE_BUILTIN,3.0,require('os'),1.0,14.0,,3:11:3:24,3.0,/home/alex/ODGen/builtin_packages/os.js,,True,
17,19,PARENT_OF,AST,AST_NAME,NAME_NOT_FQ,3.0,,0.0,14.0,,3:11:3:24,3.0,,,True,
17,27,PARENT_OF,AST,string,,3.0,require,0.0,14.0,,3:11:3:18,3.0,,,True,
17,35,PARENT_OF,AST,AST_ARG_LIST,,3.0,('os'),1.0,14.0,,3:11:3:24,3.0,,,True,
17,43,PARENT_OF,AST,string,,3.0,os,0.0,14.0,,3:19:3:23,3.0,,,True,
18,19,FLOWS_TO,AST,AST_ASSIGN,,5.0,tracert = require('./tracert'),2.0,14.0,,5:6:5:36,5.0,,,True,
19,20,PARENT_OF,AST,AST_VAR,JS_DECL_CONST,5.0,,0.0,14.0,,5:6:5:13,5.0,,,True,
19,22,PARENT_OF,AST,string,,5.0,tracert,0.0,14.0,,5:6:5:13,5.0,tracert,,True,
19,17168,LOOKUP,AST,AST_CALL,JS_REQUIRE_EXTERNAL,5.0,require('./tracert'),1.0,14.0,,5:16:5:36,5.0,/home/alex/ODGen/node_modules/nodejs-traceroute/tracert.js,,True,
19,17172,LOOKUP,AST,AST_NAME,NAME_NOT_FQ,5.0,,0.0,14.0,,5:16:5:36,5.0,,,True,
19,27,FLOWS_TO,AST,string,,5.0,require,0.0,14.0,,5:16:5:23,5.0,,,True,
20,21,PARENT_OF,AST,AST_ARG_LIST,,5.0,('./tracert'),1.0,14.0,,5:16:5:36,5.0,,,True,
22,23,PARENT_OF,AST,string,,5.0,./tracert,0.0,14.0,,5:24:5:35,5.0,,,True,
22,25,PARENT_OF,AST,AST_ASSIGN,,6.0,traceroute = require('./traceroute'),3.0,14.0,,6:6:6:42,6.0,,,True,
23,24,PARENT_OF,AST,AST_VAR,JS_DECL_CONST,6.0,,0.0,14.0,,6:6:6:16,6.0,,,True,
25,26,PARENT_OF,AST,string,,6.0,traceroute,0.0,14.0,,6:6:6:16,6.0,traceroute,,True,
27,28,PARENT_OF,AST,AST_CALL,JS_REQUIRE_EXTERNAL,6.0,require('./traceroute'),1.0,14.0,,6:19:6:42,6.0,/home/alex/ODGen/node_modules/nodejs-traceroute/traceroute.js,,True,
27,30,PARENT_OF,AST,AST_NAME,NAME_NOT_FQ,6.0,,0.0,14.0,,6:19:6:42,6.0,,,True,
27,70,FLOWS_TO,AST,string,,6.0,require,0.0,14.0,,6:19:6:26,6.0,,,True,
28,29,PARENT_OF,AST,AST_ARG_LIST,,6.0,('./traceroute'),1.0,14.0,,6:19:6:42,6.0,,,True,
30,31,PARENT_OF,AST,string,,6.0,./traceroute,0.0,14.0,,6:27:6:41,6.0,,,True,
30,33,PARENT_OF,AST,AST_ASSIGN,,8.0,module.exports = os.platform() === 'win32' ? tracert : traceroute,4.0,14.0,,8::8:65,8.0,,,True,
31,32,PARENT_OF,AST,AST_PROP,,8.0,module.exports,0.0,14.0,,8::8:14,8.0,,,True,
33,34,PARENT_OF,AST,AST_VAR,,8.0,,0.0,14.0,,8::8:6,8.0,,,True,
35,36,PARENT_OF,AST,string,,8.0,module,0.0,14.0,,8::8:6,8.0,module,,True,
35,38,PARENT_OF,AST,string,,8.0,exports,1.0,14.0,,8:7:8:14,8.0,,,True,
35,288,FLOWS_TO,AST,AST_CONDITIONAL,,8.0,os.platform() === 'win32' ? tracert : traceroute,1.0,14.0,,8:17:8:65,8.0,,,True,
36,37,PARENT_OF,AST,AST_BINARY_OP,BINARY_IS_IDENTICAL,8.0,os.platform() === 'win32',0.0,14.0,,8:17:8:42,8.0,,,True,
38,39,PARENT_OF,AST,AST_METHOD_CALL,,8.0,os.platform(),0.0,14.0,,8:17:8:30,8.0,,,True,
