source,dest,edge_type,labels:label,source_type,flags:string[],lineno:int,code,childnum:int,funcid:int,classname,namespace,endlineno:int,source_name,doccomment,export,tainted
0,1,3,Filesystem,49,,-1.0,7193,-1.0,,,,-1.0,561,,True,False
1,2,1,AST,41,TOPLEVEL_FILE,1.0,7193,-1.0,,,1::1:49,1.0,561,,True,False
1,3,2,Artificial,46,,-1.0,7193,-1.0,1.0,,,-1.0,561,,True,False
1,4,7,Artificial,47,,-1.0,7193,-1.0,1.0,,,-1.0,561,,True,False
4,5,7,AST,36,,1.0,7193,0.0,1.0,,1::1:49,1.0,626,,True,False
5,6,7,AST,3,,1.0,4042,0.0,1.0,,1:4:1:48,1.0,626,,True,False
5,8,7,AST,44,JS_DECL_VAR,1.0,7193,0.0,1.0,,1:4:1:13,1.0,626,,True,False
5,18,4,AST,51,,1.0,4041,0.0,1.0,,1:4:1:13,1.0,381,,True,False
5,75911,5,AST,7,JS_REQUIRE_EXTERNAL,1.0,5445,1.0,1.0,,1:14:1:48,1.0,9,,True,False
5,75911,5,AST,25,NAME_NOT_FQ,1.0,7193,0.0,1.0,,1:14:1:48,1.0,626,,True,False
5,75940,5,AST,51,,1.0,5422,0.0,1.0,,1:14:1:21,1.0,626,,True,False
5,75944,5,AST,0,,1.0,427,1.0,1.0,,1:14:1:48,1.0,626,,True,False
6,7,7,AST,51,,1.0,1226,0.0,1.0,,1:22:1:47,1.0,626,,True,False
8,9,7,Filesystem,49,,-1.0,7193,-1.0,,,,-1.0,9,,True,False
8,11,7,AST,41,TOPLEVEL_FILE,1.0,7193,-1.0,,,1::3:33,3.0,9,,True,False
9,10,7,Artificial,46,,-1.0,7193,-1.0,14.0,,,-1.0,9,,True,False
11,12,7,Artificial,47,,-1.0,7193,-1.0,14.0,,,-1.0,9,,True,False
13,14,3,AST,36,,1.0,7193,0.0,14.0,,1::3:33,3.0,626,,True,False
14,15,1,AST,3,,1.0,3541,0.0,14.0,,1:4:1:42,1.0,626,,True,False
14,16,2,AST,44,JS_DECL_VAR,1.0,7193,0.0,14.0,,1:4:1:15,1.0,626,,True,False
14,17,7,AST,51,,1.0,3540,0.0,14.0,,1:4:1:15,1.0,309,,True,False
17,18,7,AST,7,JS_REQUIRE_EXTERNAL,1.0,5441,1.0,14.0,,1:18:1:42,1.0,10,,True,False
17,26,7,AST,25,NAME_NOT_FQ,1.0,7193,0.0,14.0,,1:18:1:42,1.0,626,,True,False
18,19,7,AST,51,,1.0,5422,0.0,14.0,,1:18:1:25,1.0,626,,True,False
18,21,7,AST,0,,1.0,423,1.0,14.0,,1:18:1:42,1.0,626,,True,False
18,38,4,AST,51,,1.0,1222,0.0,14.0,,1:26:1:41,1.0,626,,True,False
18,75911,5,AST,3,,3.0,3302,1.0,14.0,,3::3:33,3.0,626,,True,False
18,75911,5,AST,34,,3.0,3301,0.0,14.0,,3::3:19,3.0,626,,True,False
19,20,7,AST,44,,3.0,7193,0.0,14.0,,3::3:7,3.0,626,,True,False
21,22,7,AST,51,,3.0,3281,0.0,14.0,,3::3:7,3.0,280,,True,False
21,24,7,AST,51,,3.0,3540,1.0,14.0,,3:8:3:19,3.0,626,,True,False
22,23,7,AST,44,,3.0,7193,1.0,14.0,,3:22:3:33,3.0,626,,True,False
24,25,7,AST,51,,3.0,3540,0.0,14.0,,3:22:3:33,3.0,309,,True,False
26,27,7,Filesystem,49,,-1.0,7193,-1.0,,,,-1.0,10,,True,False
26,31,7,AST,41,TOPLEVEL_FILE,1.0,7193,-1.0,,,1::567:1,567.0,10,,True,False
26,84084,5,Artificial,46,,-1.0,7193,-1.0,34.0,,,-1.0,10,,True,False
26,75974,5,Artificial,47,,-1.0,7193,-1.0,34.0,,,-1.0,10,,True,False
