source,dest,edge_type,labels:label,source_type,flags:string[],lineno:int,code,childnum:int,funcid:int,classname,namespace,endlineno:int,source_name,doccomment,export,tainted
0,1,4,Filesystem,50,,-1.0,3246,-1.0,,,,-1.0,496,,True,False
1,2,2,AST,38,TOPLEVEL_FILE,1.0,3246,-1.0,,,1::1:69,1.0,496,,True,False
1,3,3,Artificial,46,,-1.0,3246,-1.0,1.0,,,-1.0,496,,True,False
1,4,12,Artificial,47,,-1.0,3246,-1.0,1.0,,,-1.0,496,,True,False
4,5,12,AST,33,,1.0,3246,0.0,1.0,,1::1:69,1.0,537,,True,False
5,6,12,AST,3,,1.0,2075,0.0,1.0,,1:4:1:68,1.0,537,,True,False
5,8,12,AST,41,JS_DECL_VAR,1.0,3246,0.0,1.0,,1:4:1:13,1.0,537,,True,False
5,18,5,AST,59,,1.0,2074,0.0,1.0,,1:4:1:13,1.0,397,,True,False
5,22302,6,AST,7,JS_REQUIRE_EXTERNAL,1.0,2660,1.0,1.0,,1:14:1:68,1.0,5,,True,False
5,22302,6,AST,23,NAME_NOT_FQ,1.0,3246,0.0,1.0,,1:14:1:68,1.0,537,,True,False
5,22331,6,AST,59,,1.0,2642,0.0,1.0,,1:14:1:21,1.0,537,,True,False
5,22335,6,AST,0,,1.0,149,1.0,1.0,,1:14:1:68,1.0,537,,True,False
6,7,12,AST,59,,1.0,567,0.0,1.0,,1:22:1:67,1.0,537,,True,False
8,9,12,Filesystem,50,,-1.0,3246,-1.0,,,,-1.0,5,,True,False
8,11,12,AST,38,TOPLEVEL_FILE,1.0,3246,-1.0,,,1::35:40,35.0,5,,True,False
9,10,12,Artificial,46,,-1.0,3246,-1.0,14.0,,,-1.0,5,,True,False
11,12,12,Artificial,47,,-1.0,3246,-1.0,14.0,,,-1.0,5,,True,False
13,14,4,AST,33,,1.0,3246,0.0,14.0,,1::35:40,35.0,537,,True,False
14,15,2,AST,59,,1.0,3142,0.0,14.0,,1::1:12,1.0,537,,True,False
14,16,3,AST,3,,12.0,2103,1.0,14.0,,12::12:62,12.0,537,!\\n * Collection\\n * https://github.com/kobezzza/Collection\\n *\\n * Released under the MIT license\\n * https://github.com/kobezzza/Collection/blob/master/LICENSE\\n* @type {(function($$CollectionType): $$Collection)},True,False
14,17,12,AST,31,,12.0,2102,0.0,14.0,,12::12:14,12.0,537,,True,False
17,18,12,AST,41,,12.0,3246,0.0,14.0,,12::12:6,12.0,537,,True,False
17,19,12,AST,59,,12.0,2101,0.0,14.0,,12::12:6,12.0,405,,True,False
17,34,12,AST,59,,12.0,1501,1.0,14.0,,12:7:12:14,12.0,537,,True,False
17,41,12,AST,3,,12.0,1502,1.0,14.0,,12:17:12:62,12.0,537,,True,False
17,45,12,AST,41,,12.0,3246,0.0,14.0,,12:17:12:24,12.0,537,,True,False
17,49,12,AST,59,,12.0,1501,0.0,14.0,,12:17:12:24,12.0,307,,True,False
17,54,12,AST,31,,12.0,2644,1.0,14.0,,12:27:12:62,12.0,537,,True,False
17,59,12,AST,7,JS_REQUIRE_EXTERNAL,12.0,2643,0.0,14.0,,12:27:12:54,12.0,11,,True,False
17,64,12,AST,23,NAME_NOT_FQ,12.0,3246,0.0,14.0,,12:27:12:54,12.0,537,,True,False
