source,dest,edge_type,labels:label,source_type,flags:string[],lineno:int,code,childnum:int,funcid:int,classname,namespace,endlineno:int,source_name,doccomment,export,tainted
0,1,3,Filesystem,25,,-1.0,149,-1.0,,,,-1.0,34,,True,False
1,2,1,AST,19,TOPLEVEL_FILE,1.0,149,-1.0,,,1::1:56,1.0,34,,True,False
1,3,2,Artificial,23,,-1.0,149,-1.0,1.0,,,-1.0,34,,True,False
1,4,7,Artificial,24,,-1.0,149,-1.0,1.0,,,-1.0,34,,True,False
4,5,7,AST,18,,1.0,149,0.0,1.0,,1::1:56,1.0,38,,True,False
5,6,7,AST,3,,1.0,76,0.0,1.0,,1:4:1:55,1.0,38,,True,False
5,8,7,AST,21,JS_DECL_VAR,1.0,149,0.0,1.0,,1:4:1:13,1.0,38,,True,False
5,18,4,AST,30,,1.0,75,0.0,1.0,,1:4:1:13,1.0,20,,True,False
5,2080,5,AST,5,JS_REQUIRE_EXTERNAL,1.0,102,1.0,1.0,,1:14:1:55,1.0,3,,True,False
5,2074,5,AST,13,NAME_NOT_FQ,1.0,149,0.0,1.0,,1:14:1:55,1.0,38,,True,False
5,2074,5,AST,30,,1.0,101,0.0,1.0,,1:14:1:21,1.0,38,,True,False
5,1771,5,AST,0,,1.0,3,1.0,1.0,,1:14:1:55,1.0,38,,True,False
5,1771,5,AST,30,,1.0,23,0.0,1.0,,1:22:1:54,1.0,38,,True,False
5,1800,5,Filesystem,25,,-1.0,149,-1.0,,,,-1.0,3,,True,False
5,1804,5,AST,19,TOPLEVEL_FILE,1.0,149,-1.0,,,1::27:26,27.0,3,,True,False
6,7,7,Artificial,23,,-1.0,149,-1.0,14.0,,,-1.0,3,,True,False
8,9,7,Artificial,24,,-1.0,149,-1.0,14.0,,,-1.0,3,,True,False
8,11,7,AST,18,,1.0,149,0.0,14.0,,1::27:26,27.0,38,,True,False
9,10,7,AST,3,,1.0,147,0.0,14.0,,1:6:1:41,1.0,38,,True,False
11,12,7,AST,1,JS_OBJECT,1.0,149,0.0,14.0,,1:6:1:14,1.0,38,,True,False
13,14,3,AST,2,,1.0,149,0.0,14.0,,1:8:1:12,1.0,38,,True,False
14,15,1,AST,21,,1.0,149,0.0,14.0,,1:8:1:12,1.0,38,,True,False
14,16,2,AST,30,,1.0,66,0.0,14.0,,1:8:1:12,1.0,14,,True,False
14,17,7,AST,30,,1.0,66,1.0,14.0,,1:8:1:12,1.0,38,,True,False
17,18,7,AST,5,JS_REQUIRE_BUILTIN,1.0,103,1.0,14.0,,1:17:1:41,1.0,0,,True,False
17,29,7,AST,13,NAME_NOT_FQ,1.0,149,0.0,14.0,,1:17:1:41,1.0,38,,True,False
17,37,7,AST,30,,1.0,101,0.0,14.0,,1:17:1:24,1.0,38,,True,False
17,45,7,AST,0,,1.0,5,1.0,14.0,,1:17:1:41,1.0,38,,True,False
17,53,7,AST,30,,1.0,53,0.0,14.0,,1:25:1:40,1.0,38,,True,False
17,219,7,AST,3,,2.0,87,1.0,14.0,,2:6:2:28,2.0,38,,True,False
18,19,7,AST,21,JS_DECL_CONST,2.0,149,0.0,14.0,,2:6:2:10,2.0,38,,True,False
18,24,7,AST,30,,2.0,86,0.0,14.0,,2:6:2:10,2.0,23,,True,False
18,231,4,AST,5,JS_REQUIRE_BUILTIN,2.0,106,1.0,14.0,,2:13:2:28,2.0,7,,True,False
18,1870,5,AST,13,NAME_NOT_FQ,2.0,149,0.0,14.0,,2:13:2:28,2.0,38,,True,False
19,20,7,AST,30,,2.0,101,0.0,14.0,,2:13:2:20,2.0,38,,True,False
20,21,7,AST,0,,2.0,8,1.0,14.0,,2:13:2:28,2.0,38,,True,False
20,23,7,AST,30,,2.0,86,0.0,14.0,,2:21:2:27,2.0,38,,True,False
21,22,7,AST,3,,3.0,74,2.0,14.0,,3:6:3:24,3.0,38,,True,False
24,25,7,AST,21,JS_DECL_CONST,3.0,149,0.0,14.0,,3:6:3:8,3.0,38,,True,False
24,27,7,AST,30,,3.0,73,0.0,14.0,,3:6:3:8,3.0,18,,True,False
25,26,7,AST,5,JS_REQUIRE_BUILTIN,3.0,104,1.0,14.0,,3:11:3:24,3.0,1,,True,False
27,28,7,AST,13,NAME_NOT_FQ,3.0,149,0.0,14.0,,3:11:3:24,3.0,38,,True,False
29,30,7,AST,30,,3.0,101,0.0,14.0,,3:11:3:18,3.0,38,,True,False
29,32,7,AST,0,,3.0,6,1.0,14.0,,3:11:3:24,3.0,38,,True,False
29,37,4,AST,30,,3.0,73,0.0,14.0,,3:19:3:23,3.0,38,,True,False
30,31,7,AST,3,,4.0,85,3.0,14.0,,4:6:4:24,4.0,38,,True,False
32,33,7,AST,21,JS_DECL_CONST,4.0,149,0.0,14.0,,4:6:4:8,4.0,38,,True,False
32,35,7,AST,30,,4.0,84,0.0,14.0,,4:6:4:8,4.0,22,,True,False
33,34,7,AST,5,JS_REQUIRE_BUILTIN,4.0,105,1.0,14.0,,4:11:4:24,4.0,2,,True,False
35,36,7,AST,13,NAME_NOT_FQ,4.0,149,0.0,14.0,,4:11:4:24,4.0,38,,True,False
37,38,7,AST,30,,4.0,101,0.0,14.0,,4:11:4:18,4.0,38,,True,False
37,40,7,AST,0,,4.0,7,1.0,14.0,,4:11:4:24,4.0,38,,True,False
37,448,4,AST,30,,4.0,84,0.0,14.0,,4:19:4:23,4.0,38,,True,False
38,39,7,AST,3,,6.0,113,4.0,14.0,,6:4:25:1,25.0,38,,True,False
40,41,7,AST,21,JS_DECL_VAR,6.0,149,0.0,14.0,,6:4:6:13,6.0,38,,True,False
40,43,7,AST,30,,6.0,112,0.0,14.0,,6:4:6:13,6.0,28,,True,False
41,42,7,AST,6,,6.0,149,1.0,14.0,,6:16:25:1,25.0,38,,True,False
43,44,7,Artificial,23,,-1.0,149,-1.0,56.0,,,-1.0,38,,True,False
45,46,7,Artificial,24,,-1.0,149,-1.0,56.0,,,-1.0,38,,True,False
45,48,7,AST,30,,6.0,148,0.0,56.0,,6::6:,-1.0,38,,True,False
45,2061,5,AST,31,,6.0,149,1.0,56.0,,6::6:,-1.0,38,,True,False
45,2065,5,AST,15,,6.0,134,2.0,56.0,,6:16:25:1,25.0,38,,True,False
