source,dest,edge_type,labels:label,source_type,flags:string[],lineno:int,code,childnum:int,funcid:int,classname,namespace,endlineno:int,source_name,doccomment,export,tainted
0,1,4,Filesystem,32,,-1.0,241,-1.0,,,,-1.0,152,,True,False
1,2,2,AST,23,TOPLEVEL_FILE,1.0,241,-1.0,,,1::1:49,1.0,152,,True,False
1,3,3,Artificial,28,,-1.0,241,-1.0,1.0,,,-1.0,152,,True,False
1,4,13,Artificial,29,,-1.0,241,-1.0,1.0,,,-1.0,152,,True,False
4,5,13,AST,22,,1.0,241,0.0,1.0,,1::1:49,1.0,165,,True,False
5,6,13,AST,3,,1.0,128,0.0,1.0,,1:4:1:48,1.0,165,,True,False
5,8,13,AST,25,JS_DECL_VAR,1.0,241,0.0,1.0,,1:4:1:13,1.0,165,,True,False
5,18,5,AST,40,,1.0,127,0.0,1.0,,1:4:1:13,1.0,129,,True,False
5,2368,6,AST,6,JS_REQUIRE_EXTERNAL,1.0,176,1.0,1.0,,1:14:1:48,1.0,2,,True,False
5,2212,6,AST,16,NAME_NOT_FQ,1.0,241,0.0,1.0,,1:14:1:48,1.0,165,,True,False
5,2212,6,AST,40,,1.0,174,0.0,1.0,,1:14:1:21,1.0,165,,True,False
5,2180,6,AST,0,,1.0,4,1.0,1.0,,1:14:1:48,1.0,165,,True,False
5,2148,6,AST,40,,1.0,22,0.0,1.0,,1:22:1:47,1.0,165,,True,False
5,2196,6,Filesystem,32,,-1.0,241,-1.0,,,,-1.0,2,,True,False
5,2164,6,AST,23,TOPLEVEL_FILE,1.0,241,-1.0,,,1::1:40,1.0,2,,True,False
5,2361,6,Artificial,28,,-1.0,241,-1.0,14.0,,,-1.0,2,,True,False
5,2227,6,Artificial,29,,-1.0,241,-1.0,14.0,,,-1.0,2,,True,False
5,2221,6,AST,22,,1.0,241,0.0,14.0,,1::1:40,1.0,165,,True,False
5,2195,6,AST,3,,1.0,132,0.0,14.0,,1::1:39,1.0,165,,True,False
5,2189,6,AST,20,,1.0,131,0.0,14.0,,1::1:14,1.0,165,,True,False
5,2163,6,AST,25,,1.0,241,0.0,14.0,,1::1:6,1.0,165,,True,False
5,2157,6,AST,40,,1.0,130,0.0,14.0,,1::1:6,1.0,130,,True,False
5,2211,6,AST,40,,1.0,103,1.0,14.0,,1:7:1:14,1.0,165,,True,False
5,2205,6,AST,6,JS_REQUIRE_EXTERNAL,1.0,175,1.0,14.0,,1:17:1:39,1.0,3,,True,False
5,2179,6,AST,16,NAME_NOT_FQ,1.0,241,0.0,14.0,,1:17:1:39,1.0,165,,True,False
5,2173,6,AST,40,,1.0,174,0.0,14.0,,1:17:1:24,1.0,165,,True,False
5,2225,6,AST,0,,1.0,3,1.0,14.0,,1:17:1:39,1.0,165,,True,False
5,2193,6,AST,40,,1.0,21,0.0,14.0,,1:25:1:38,1.0,165,,True,False
5,2161,6,Filesystem,32,,-1.0,241,-1.0,,,,-1.0,3,,True,False
5,2209,6,AST,23,TOPLEVEL_FILE,1.0,241,-1.0,,,1::100:1,100.0,3,,True,False
