source,dest,edge_type,labels:label,source_type,flags:string[],lineno:int,code,childnum:int,funcid:int,classname,namespace,endlineno:int,source_name,doccomment,export,tainted
0,1,2,Filesystem,28,,-1.0,169,-1.0,,,,-1.0,26,,True,False
1,2,0,AST,22,TOPLEVEL_FILE,1.0,169,-1.0,,,1::1:56,1.0,26,,True,False
1,3,1,Artificial,26,,-1.0,169,-1.0,1.0,,,-1.0,26,,True,False
1,4,5,Artificial,27,,-1.0,169,-1.0,1.0,,,-1.0,26,,True,False
4,5,5,AST,20,,1.0,169,0.0,1.0,,1::1:56,1.0,30,,True,False
5,6,5,AST,3,,1.0,96,0.0,1.0,,1:4:1:55,1.0,30,,True,False
5,8,5,AST,24,JS_DECL_VAR,1.0,169,0.0,1.0,,1:4:1:13,1.0,30,,True,False
5,18,3,AST,33,,1.0,95,0.0,1.0,,1:4:1:13,1.0,20,,True,False
5,1836,4,AST,5,JS_REQUIRE_EXTERNAL,1.0,141,1.0,1.0,,1:14:1:55,1.0,0,,True,False
5,1836,4,AST,14,NAME_NOT_FQ,1.0,169,0.0,1.0,,1:14:1:55,1.0,30,,True,False
5,1865,4,AST,33,,1.0,140,0.0,1.0,,1:14:1:21,1.0,30,,True,False
5,1869,4,AST,0,,1.0,5,1.0,1.0,,1:14:1:55,1.0,30,,True,False
6,7,5,AST,33,,1.0,23,0.0,1.0,,1:22:1:54,1.0,30,,True,False
8,9,5,Filesystem,28,,-1.0,169,-1.0,,,,-1.0,0,,True,False
8,11,5,AST,22,TOPLEVEL_FILE,1.0,169,-1.0,,,1::90:2,90.0,0,,True,False
9,10,5,Artificial,26,,-1.0,169,-1.0,14.0,,,-1.0,0,,True,False
11,12,5,Artificial,27,,-1.0,169,-1.0,14.0,,,-1.0,0,,True,False
13,14,2,AST,20,,1.0,169,0.0,14.0,,1::90:2,90.0,30,,True,False
14,15,0,AST,3,,1.0,34,0.0,14.0,,1:4:1:30,1.0,30,,True,False
14,16,1,AST,24,JS_DECL_VAR,1.0,169,0.0,14.0,,1:4:1:12,1.0,30,,True,False
14,17,5,AST,33,,1.0,32,0.0,14.0,,1:4:1:12,1.0,3,,True,False
17,18,5,AST,33,,1.0,47,1.0,14.0,,1:15:1:30,1.0,30,,True,False
17,22,5,AST,3,,2.0,28,1.0,14.0,,2:4:2:32,2.0,30,,True,False
17,26,5,AST,24,JS_DECL_VAR,2.0,169,0.0,14.0,,2:4:2:16,2.0,30,,True,False
17,30,5,AST,33,,2.0,26,0.0,14.0,,2:4:2:16,2.0,2,,True,False
17,34,5,AST,33,,2.0,46,1.0,14.0,,2:19:2:32,2.0,30,,True,False
17,109,5,AST,3,,3.0,43,2.0,14.0,,3:4:3:32,3.0,30,,True,False
17,409,5,AST,24,JS_DECL_VAR,3.0,169,0.0,14.0,,3:4:3:20,3.0,30,,True,False
18,19,5,AST,33,,3.0,42,0.0,14.0,,3:4:3:20,3.0,6,,True,False
18,21,5,AST,33,,3.0,45,1.0,14.0,,3:23:3:32,3.0,30,,True,False
18,1836,4,AST,3,,4.0,37,3.0,14.0,,4:4:4:73,4.0,30,,True,False
