source,dest,edge_type,labels:label,source_type,flags:string[],lineno:int,code,childnum:int,funcid:int,classname,namespace,endlineno:int,source_name,doccomment,export,tainted
0,1,4,Filesystem,46,,-1.0,1643,-1.0,,,,-1.0,315,,True,False
1,2,2,AST,35,TOPLEVEL_FILE,1.0,1643,-1.0,,,1::1:74,1.0,315,,True,False
1,3,3,Artificial,42,,-1.0,1643,-1.0,1.0,,,-1.0,315,,True,False
1,4,13,Artificial,43,,-1.0,1643,-1.0,1.0,,,-1.0,315,,True,False
4,5,13,AST,30,,1.0,1643,0.0,1.0,,1::1:74,1.0,354,,True,False
5,6,13,AST,3,,1.0,970,0.0,1.0,,1:4:1:73,1.0,354,,True,False
5,8,13,AST,38,JS_DECL_VAR,1.0,1643,0.0,1.0,,1:4:1:13,1.0,354,,True,False
5,18,5,AST,55,,1.0,969,0.0,1.0,,1:4:1:13,1.0,242,,True,False
5,10804,6,AST,7,JS_REQUIRE_EXTERNAL,1.0,1247,1.0,1.0,,1:14:1:73,1.0,9,,True,False
5,11108,6,AST,22,NAME_NOT_FQ,1.0,1643,0.0,1.0,,1:14:1:73,1.0,354,,True,False
5,10201,6,AST,55,,1.0,1241,0.0,1.0,,1:14:1:21,1.0,354,,True,False
5,10221,6,AST,0,,1.0,75,1.0,1.0,,1:14:1:73,1.0,354,,True,False
5,9787,6,AST,55,,1.0,262,0.0,1.0,,1:22:1:72,1.0,354,,True,False
5,10232,6,Filesystem,46,,-1.0,1643,-1.0,,,,-1.0,9,,True,False
5,9797,6,AST,35,TOPLEVEL_FILE,18.0,1643,-1.0,,,18::33:51,33.0,9,,True,False
5,10211,6,Artificial,42,,-1.0,1643,-1.0,14.0,,,-1.0,9,,True,False
5,10812,6,Artificial,43,,-1.0,1643,-1.0,14.0,,,-1.0,9,,True,False
5,11116,6,AST,30,,18.0,1643,0.0,14.0,,18::33:51,33.0,354,,True,False
5,10209,6,AST,19,,18.0,1643,0.0,14.0,,18::20:1,20.0,354,"*\\n * @class nodewindows\\n * This is a standalone module, originally designed for internal use in [NGN](http://github.com/thinkfirst/NGN).\\n * However; it is capable of providing the same features for Node.JS scripts\\n * independently of NGN.\\n *\\n * ### Getting node-windows\\n *\\n * `npm install -g node-windows`\\n *\\n * ### Using node-windows\\n *\\n * `var nw = require('node-windows');`\\n *\\n * @singleton\\n * @author Corey Butler",True,False
5,10229,6,AST,20,,18.0,1643,0.0,14.0,,18::20:1,20.0,354,,True,False
5,9795,6,AST,5,BINARY_IS_SMALLER,18.0,1257,0.0,14.0,,18:4:18:49,18.0,354,,True,False
5,9805,6,AST,21,,18.0,1256,0.0,14.0,,18:4:18:45,18.0,354,,True,False
5,10219,6,AST,21,,18.0,1255,0.0,14.0,,18:4:18:28,18.0,354,,True,False
5,9418,6,AST,7,JS_REQUIRE_BUILTIN,18.0,1254,0.0,14.0,,18:4:18:17,18.0,4,,True,False
