source,dest,edge_type,labels:label,source_type,flags:string[],lineno:int,code,childnum:int,funcid:int,classname,namespace,endlineno:int,source_name,doccomment,export,tainted
0,1,4,Filesystem,45,,-1.0,2846,-1.0,,,,-1.0,694,,True,False
1,2,2,AST,34,TOPLEVEL_FILE,1.0,2846,-1.0,,,1::1:59,1.0,694,,True,False
1,3,3,Artificial,41,,-1.0,2846,-1.0,1.0,,,-1.0,694,,True,False
1,4,12,Artificial,42,,-1.0,2846,-1.0,1.0,,,-1.0,694,,True,False
4,5,12,AST,32,,1.0,2846,0.0,1.0,,1::1:59,1.0,741,,True,False
5,6,12,AST,3,,1.0,1930,0.0,1.0,,1:4:1:58,1.0,741,,True,False
5,8,12,AST,37,JS_DECL_VAR,1.0,2846,0.0,1.0,,1:4:1:13,1.0,741,,True,False
5,18,5,AST,53,,1.0,1929,0.0,1.0,,1:4:1:13,1.0,613,,True,False
5,17080,6,AST,6,JS_REQUIRE_EXTERNAL,1.0,2382,1.0,1.0,,1:14:1:58,1.0,3,,True,False
5,17080,6,AST,22,NAME_NOT_FQ,1.0,2846,0.0,1.0,,1:14:1:58,1.0,741,,True,False
5,17109,6,AST,53,,1.0,2310,0.0,1.0,,1:14:1:21,1.0,741,,True,False
5,17113,6,AST,0,,1.0,186,1.0,1.0,,1:14:1:58,1.0,741,,True,False
6,7,12,AST,53,,1.0,517,0.0,1.0,,1:22:1:57,1.0,741,,True,False
8,9,12,Filesystem,45,,-1.0,2846,-1.0,,,,-1.0,3,,True,False
8,11,12,AST,34,TOPLEVEL_FILE,1.0,2846,-1.0,,,1::8:66,8.0,3,,True,False
9,10,12,Artificial,41,,-1.0,2846,-1.0,14.0,,,-1.0,3,,True,False
11,12,12,Artificial,42,,-1.0,2846,-1.0,14.0,,,-1.0,3,,True,False
13,14,4,AST,32,,1.0,2846,0.0,14.0,,1::8:66,8.0,741,,True,False
14,15,2,AST,53,,1.0,2776,0.0,14.0,,1::1:12,1.0,741,,True,False
14,16,3,AST,3,,3.0,2152,1.0,14.0,,3:6:3:24,3.0,741,,True,False
14,17,12,AST,37,JS_DECL_CONST,3.0,2846,0.0,14.0,,3:6:3:8,3.0,741,,True,False
14,23866,0,AST,53,,3.0,2151,0.0,14.0,,3:6:3:8,3.0,646,,True,False
17,18,12,AST,6,JS_REQUIRE_BUILTIN,3.0,2395,1.0,14.0,,3:11:3:24,3.0,2,,True,False
17,19,12,AST,22,NAME_NOT_FQ,3.0,2846,0.0,14.0,,3:11:3:24,3.0,741,,True,False
17,27,12,AST,53,,3.0,2310,0.0,14.0,,3:11:3:18,3.0,741,,True,False
17,35,12,AST,0,,3.0,218,1.0,14.0,,3:11:3:24,3.0,741,,True,False
17,43,12,AST,53,,3.0,2151,0.0,14.0,,3:19:3:23,3.0,741,,True,False
18,19,5,AST,3,,5.0,2726,2.0,14.0,,5:6:5:36,5.0,741,,True,False
19,20,12,AST,37,JS_DECL_CONST,5.0,2846,0.0,14.0,,5:6:5:13,5.0,741,,True,False
19,22,12,AST,53,,5.0,2725,0.0,14.0,,5:6:5:13,5.0,718,,True,False
19,17168,6,AST,6,JS_REQUIRE_EXTERNAL,5.0,2388,1.0,14.0,,5:16:5:36,5.0,6,,True,False
19,17172,6,AST,22,NAME_NOT_FQ,5.0,2846,0.0,14.0,,5:16:5:36,5.0,741,,True,False
19,27,5,AST,53,,5.0,2310,0.0,14.0,,5:16:5:23,5.0,741,,True,False
20,21,12,AST,0,,5.0,192,1.0,14.0,,5:16:5:36,5.0,741,,True,False
22,23,12,AST,53,,5.0,523,0.0,14.0,,5:24:5:35,5.0,741,,True,False
22,25,12,AST,3,,6.0,2724,3.0,14.0,,6:6:6:42,6.0,741,,True,False
23,24,12,AST,37,JS_DECL_CONST,6.0,2846,0.0,14.0,,6:6:6:16,6.0,741,,True,False
25,26,12,AST,53,,6.0,2723,0.0,14.0,,6:6:6:16,6.0,717,,True,False
27,28,12,AST,6,JS_REQUIRE_EXTERNAL,6.0,2387,1.0,14.0,,6:19:6:42,6.0,5,,True,False
